Worms Armageddon,1999,Infogrames,PC (Microsoft Windows) / PlayStation / Dreamcast / Nintendo 64 / PlayStation 3 / PlayStation Portable,free,-
Conker's Bad Fur Day,2001,Rare,Nintendo 64,free,-
Extreme-G 2,1998,Probe Entertainment,Nintendo 64 / PC (Microsoft Windows),free,-
FIFA 99,1998,EA Sports,PlayStation / Nintendo 64 / PC (Microsoft Windows),free,-
Mario Party,1998,Hudson Soft,Nintendo 64,free,-
Super Smash Bros.,1999,HAL Laboratory,Wii / Nintendo 64,free,-
Tony Hawk's Pro Skater 3,2001,Neversoft Entertainment,PlayStation 2 / Mac / Nintendo 64 / PC (Microsoft Windows) / Game Boy Color / PlayStation / Xbox / Nintendo GameCube / Game Boy Advance,free,-
Bomberman 64,2001,Racjin,Nintendo 64,free,-
Rayman 2: The Great Escape,1999,Ubisoft Entertainment,Dreamcast / Game Boy Color / PC (Microsoft Windows) / iOS / PlayStation / Nintendo 64,free,-
Jet Force Gemini,1999,Rare,Nintendo 64,free,Juno/Vela/Lupus
F-Zero X,1998,Nintendo EAD,Wii U / Wii / Nintendo 64,free,Falcon/Pico/Jody Summer/ Draq
40 Winks,1999,Eurocom,PC (Microsoft Windows) / Nintendo 64 / PlayStation,free,-
Madden NFL 2002,2001,EA Tiburon,Nintendo GameCube / Xbox / PlayStation 2 / PlayStation / Nintendo 64 / Game Boy Color / PC (Microsoft Windows) / Game Boy Advance,free,-
Mickey's Speedway USA,2000,Rare,Game Boy Color / Nintendo 64,free,-
Mace: The Dark Age,1997,Atari Games Corporation,Arcade / Nintendo 64,free,Xiao Long
NFL Blitz,1997,Midway Games,Nintendo 64 / Game Boy Color / PC (Microsoft Windows) / PlayStation / Arcade,free,-
Donald Duck: Goin' Quackers,2000,Ubisoft,Nintendo 64 / Dreamcast / PC (Microsoft Windows),free,-
Vigilante 8: 2nd Offense,1999,Luxoflux,Dreamcast / PlayStation / Nintendo 64,free,-
Sin and Punishment,2000,Nintendo R&D1,Wii / Wii U / Nintendo 64,free,Saki/Airan
WWF Attitude,1999,Acclaim Studios Salt Lake City,Dreamcast / Nintendo 64 / Game Boy Color / PlayStation,free,-
Diddy Kong Racing,1997,Rare,Nintendo 64,free,Conker/Banjo/T.T.
