FIFA 97,1996,EA Canada,Sega Saturn / Super Nintendo Entertainment System (SNES) / PC (Microsoft Windows) / PlayStation / Sega Mega Drive/Genesis
Street Fighter Alpha: Warrior's Dreams,1995,Capcom,PlayStation / Sega Saturn / PC (Microsoft Windows) / Game Boy Color / Arcade
Hi-Octane,1995,Bullfrog Productions,PlayStation / Sega Saturn / PC DOS
Hexen: Beyond Heretic,1995,Atod,PC DOS / PlayStation / PC (Microsoft Windows) / Sega Saturn / Mac
Prisoner of Ice,1995,Infogrames Europe,PC DOS / PlayStation / Mac / Sega Saturn / PC (Microsoft Windows) / Linux
Phantasmagoria,1995,Kronos Digital Entertainment,Sega Saturn / PC DOS / PC (Microsoft Windows) / Mac
OutRun,1986,Sega AM2,Amstrad CPC / Atari ST/STE / PC DOS / Sega Game Gear / Amiga / ZX Spectrum / MSX / Arcade / TurboGrafx-16/PC Engine / Sega Saturn / Commodore C64/128 / Sega Mega Drive/Genesis / Sega Master System
PowerSlave,1996,Lobotomy Software,Sega Saturn / PlayStation / PC DOS
Road Rash,1991,Peakstar Software,Sega Mega Drive/Genesis / Amiga / Sega Saturn / Sega Master System / Game Boy Color / Game Boy / Sega Game Gear
Sega Rally Championship,1994,United Game Artists,N-Gage / Arcade / PC (Microsoft Windows) / Sega Saturn / Game Boy Advance / PlayStation 2
Virtua Cop 2,1995,Sega AM2,Dreamcast / Arcade / PC (Microsoft Windows) / Sega Saturn
Mortal Kombat Trilogy,1996,Midway,Sega Saturn / PlayStation / PC DOS / PC (Microsoft Windows) / Nintendo 64
Street Racer,1994,Vivid Image,Super Nintendo Entertainment System (SNES) / Sega Saturn / Game Boy / PlayStation / PC DOS / PC (Microsoft Windows) / Amiga / Sega Mega Drive/Genesis
Wipeout 2097,1996,Psygnosis,PC (Microsoft Windows) / Amiga / Mac / PlayStation / Sega Saturn
Cyberia,1994,Xatrix Entertainment,Sega Saturn / PC DOS / 3DO Interactive Multiplayer / PlayStation
Waku Waku 7,1996,Sunsoft,Neo Geo MVS / Arcade / Nintendo Switch / Wii / Sega Saturn / Neo Geo AES
Ogre Battle: The March of the Black Queen,1993,Riverhillsoft,Wii / Wii U / Sega Saturn / PlayStation / Super Nintendo Entertainment System (SNES)
The King of Fighters '96,1996,SNK,Nintendo Switch / PlayStation / Neo Geo CD / Neo Geo AES / Wii / Arcade / Sega Saturn / Neo Geo MVS / Game Boy / PlayStation 3
Virtua Cop,1994,Sega AM2,Arcade / Sega Saturn / PC (Microsoft Windows)
Wipeout,1995,Psygnosis,PlayStation / PlayStation 3 / PC DOS / Sega Saturn
Rampage World Tour,1997,Game Refuge Inc,Nintendo 64 / Game Boy Color / Sega Saturn / PlayStation 3 / PlayStation / Windows Phone
After Burner II,1987,Sega AM2,Sharp X68000 / PC DOS / Amiga / Sega Saturn / Nintendo 3DS / Atari ST/STE / Sega Mega Drive/Genesis / TurboGrafx-16/PC Engine / PlayStation 2 / Arcade
Night Warriors: Darkstalkers' Revenge,1995,Capcom,Sega Saturn / Arcade
Dragon Ball Z: The Legend,1996,Bandai,Sega Saturn / PlayStation
Panzer Dragoon,1995,Sega,Xbox / PlayStation 2 / PC (Microsoft Windows) / Sega Saturn
Z,1996,The Bitmap Brothers,iOS / Android / Super Nintendo Entertainment System (SNES) / Sega Saturn / PC DOS / PlayStation
NBA Jam Tournament Edition,1994,Torus Games,Sega Saturn / Arcade / PlayStation / Sega 32X / Sega Mega Drive/Genesis / Sega Game Gear / PC DOS / Game Boy / Super Nintendo Entertainment System (SNES) / Atari Jaguar
The King of Fighters '95,1995,SNK,Game Boy / Neo Geo AES / Neo Geo CD / Neo Geo MVS / Sega Saturn / PlayStation / Nintendo Switch / Wii
